ds,yhat
1990-05-31,40274.85198901962
1990-06-30,41477.820524595416
1990-07-31,41592.810448847624
1990-08-31,41910.039209449365
1990-09-30,41789.00803800346
1990-10-31,42041.95509383909
1990-11-30,42613.96433989729
1990-12-31,43772.82646627854
1991-01-31,42982.54306129119
1991-02-28,43984.76487713647
1991-03-31,43074.916968516714
1991-04-30,41826.40108764372
1991-05-31,40963.86577225023
1991-06-30,42240.557062003514
1991-07-31,42281.68404322305
1991-08-31,42625.04319168459
1991-09-30,42506.48098722986
1991-10-31,42658.717682716044
1991-11-30,43289.087845595386
1991-12-31,44564.813216647795
1992-01-31,43845.16452662899
1992-02-29,45123.511764389004
1992-03-31,44102.34854105893
1992-04-30,42184.242970294086
1992-05-31,41738.515092762005
1992-06-30,42791.515341772596
1992-07-31,43052.875193787004
1992-08-31,43319.249734956575
1992-09-30,43190.92532691837
1992-10-31,43649.16616733286
1992-11-30,44114.04875135562
1992-12-31,45036.34329565258
1993-01-31,44091.16791006815
1993-02-28,45694.46588895773
1993-03-31,44704.21459185457
1993-04-30,43009.651114772205
1993-05-31,42426.912359589645
1993-06-30,43555.30346007977
1993-07-31,43743.7270608216
1993-08-31,44035.29286589615
1993-09-30,43911.015788607714
1993-10-31,44265.99600780657
1993-11-30,44782.81377708205
1993-12-31,45823.81186852427
1994-01-31,44958.33371451548
1994-02-28,46261.75287609059
1994-03-31,45308.61113116138
1994-04-30,43837.325791263655
1994-05-31,43115.630822347535
1994-06-30,44318.59932603226
1994-07-31,44433.58921732921
1994-08-31,44750.81794497587
1994-09-30,44629.78674163859
1994-10-31,44882.73376451967
1994-11-30,45454.74297868595
1994-12-31,46613.6050721123
1995-01-31,45823.32163417086
1995-02-28,46825.54342025018
1995-03-31,45915.69547867542
1995-04-30,44667.17956591033
1995-05-31,43804.64423077207
1995-06-30,45081.335501417365
1995-07-31,45122.4624628921
1995-08-31,45465.24657649323
1995-09-30,45346.1278866896
1995-10-31,45497.78954731543
1995-11-30,46127.603224846345
1995-12-31,47402.7535610379
1996-01-31,46682.52983615866
1996-02-29,47960.33913808194
1996-03-31,46938.60087989028
1996-04-30,45019.93882377739
1996-05-31,44573.63591138469
1996-06-30,45626.07967504709
1996-07-31,45886.8644922009
1996-08-31,46152.66399850998
1996-09-30,46023.78310512324
1996-10-31,46481.448916164016
1996-11-30,46945.77502014792
1996-12-31,47867.49453507128
1997-01-31,46916.558193452256
1997-02-28,48514.652728181645
1997-03-31,47518.64047504366
1997-04-30,45818.50187921819
1997-05-31,45230.00216800205
1997-06-30,46352.81814974917
1997-07-31,46535.48079445666
1997-08-31,46821.28564349695
1997-09-30,46691.4334474654
1997-10-31,47040.65271062905
1997-11-30,47551.89536116241
1997-12-31,48587.13249656996
1998-01-31,47715.893386526965
1998-02-28,49014.10910394161
1998-03-31,48055.2064172365
1998-04-30,46578.34597239449
1998-05-31,45839.18762018842
1998-06-30,47025.2560755284
1998-07-31,47122.78258353612
1998-08-31,47422.54792789332
1998-09-30,47284.61667621176
1998-10-31,47520.100315803065
1998-11-30,48075.20948162505
1998-12-31,49216.60819176248
1999-01-31,48408.86137053137
1999-02-28,49395.309778155985
1999-03-31,48467.99845329204
1999-04-30,47202.58249218261
1999-05-31,46322.58377375511
1999-06-30,47582.374996055434
1999-07-31,47606.03857424104
1999-08-31,47931.93431966849
1999-09-30,47796.47204776131
1999-10-31,47917.76170640968
1999-11-30,48518.1831239616
1999-12-31,49762.96145817586
2000-01-31,49012.365731319405
2000-02-29,50261.76251526288
2000-03-31,49209.65225509482
2000-04-30,47261.597939002284
2000-05-31,46784.92302463272
2000-06-30,47807.97452831614
2000-07-31,48038.38734349257
2000-08-31,48273.81484782413
2000-09-30,48115.54169445888
2000-10-31,48542.83550352184
2000-11-30,48977.76934752782
2000-12-31,49869.11686047372
2001-01-31,48892.994443538264
2001-02-28,50468.340265078004
2001-03-31,49446.84835315467
2001-04-30,47722.052023021264
2001-05-31,47108.07265301964
2001-06-30,48206.230900458446
2001-07-31,48363.41388638089
2001-08-31,48623.739076635386
2001-09-30,48469.22914629622
2001-10-31,48792.96875067551
2001-11-30,49279.553666900174
2001-12-31,50289.31114352226
2002-01-31,49392.59237469475
2002-02-28,50667.79420675457
2002-03-31,49683.41186126422
2002-04-30,48181.893682114
2002-05-31,47428.95811263574
2002-06-30,48601.69377706791
2002-07-31,48685.44306780334
2002-08-31,48971.431185742564
2002-09-30,48820.16713430192
2002-10-31,49041.8735474753
2002-11-30,49583.64991353783
2002-12-31,50711.27139725643
2003-01-31,49889.74734960701
2003-02-28,50863.75181078996
2003-03-31,49922.663259508205
2003-04-30,48643.914498640086
2003-05-31,47750.13855379403
2003-06-30,48996.59697633552
2003-07-31,49006.483328103015
2003-08-31,49318.60184711278
2003-09-30,49169.8067754457
2003-10-31,49290.802841479104
2003-11-30,49890.940137147336
2003-12-31,51135.4248787468
2004-01-31,50367.33433961504
2004-02-29,51600.365008849185
2004-03-31,50530.75993640597
2004-04-30,48565.77515682215
2004-05-31,48071.605430176474
2004-06-30,49077.72647036778
2004-07-31,49290.64447326847
2004-08-31,49508.57716532485
2004-09-30,49333.37354846747
2004-10-31,49743.17254525505
2004-11-30,50161.17592576899
2004-12-31,51035.02862643829
2005-01-31,50041.411397227545
2005-02-28,51600.955452841336
2005-03-31,50562.26231211121
2005-04-30,48820.81963152013
2005-05-31,48189.639032710395
2005-06-30,49223.3110769276
2005-07-31,49313.85831952031
2005-08-31,49507.54776644615
2005-09-30,49288.551632884606
2005-10-31,49545.65549393418
2005-11-30,49967.75420693674
2005-12-31,50910.87594022982
2006-01-31,49947.521428071836
2006-02-28,51162.53613712629
2006-03-31,50111.518048305574
2006-04-30,48545.513665934246
2006-05-31,47725.942353126215
2006-06-30,48834.19181433582
2006-07-31,48851.30536174211
2006-08-31,49070.65774549788
2006-09-30,48854.907499686095
2006-10-31,49009.9781786761
2006-11-30,49487.26496737024
2006-12-31,50548.24722114355
2007-01-31,49660.08394354674
2007-02-28,50573.89813251947
2007-03-31,49566.17035129112
2007-04-30,48222.93201305402
2007-05-31,47262.516838261676
2007-06-30,48444.48568343561
2007-07-31,48387.732805255735
2007-08-31,48633.21209431869
2007-09-30,48419.92744528394
2007-10-31,48474.28428137068
2007-11-30,49009.93199967019
2007-12-31,50187.77751132441
2008-01-31,49370.24896190586
2008-02-29,50557.03116990583
2008-03-31,49437.98808717583
2008-04-30,47425.16007250807
2008-05-31,46881.552336275585
2008-06-30,47839.830141382736
2008-07-31,48003.310134697495
2008-08-31,48171.8048171672
2008-09-30,47948.7579652256
2008-10-31,48309.11895242638
2008-11-30,48679.279097856044
2008-12-31,49503.69378893988
2009-01-31,48460.63855014248
2009-02-28,49975.52891967783
2009-03-31,48887.39776936034
2009-04-30,47098.11185368418
2009-05-31,46417.49324528879
2009-06-30,47451.16190718475
2009-07-31,47541.70565471422
2009-08-31,47735.39160101759
2009-09-30,47516.39207975768
2009-10-31,47773.49244018536
2009-11-30,48195.587765490374
2009-12-31,49138.705998162135
2010-01-31,48175.347985383385
2010-02-28,49390.35953258442
2010-03-31,48339.337943143466
2010-04-30,46773.33017307179
2010-05-31,45953.75535964343
2010-06-30,47062.00143315525
2010-07-31,47079.11147993945
2010-08-31,47298.46036307329
2010-09-30,47082.70672956329
2010-10-31,47237.773907932096
2010-11-30,47715.060691924926
2010-12-31,48776.04294083854
2011-01-31,47891.26782162607
2011-02-28,48808.14228268528
2011-03-31,47803.802659839836
2011-04-30,46463.843184554804
2011-05-31,45506.81616814473
2011-06-30,46692.063876269836
2011-07-31,46638.699156472925
2011-08-31,46887.5666039182
2011-09-30,46677.56081783474
2011-10-31,46735.30581230444
2011-11-30,47274.23239355558
2011-12-31,48455.46606359083
2012-01-31,47641.32567255568
2012-02-29,48831.27744807456
2012-03-31,47715.62252372903
2012-04-30,45706.07337133562
2012-05-31,45165.85379278764
2012-06-30,46148.66544130881
2012-07-31,46337.49707281891
2012-08-31,46531.34339348377
2012-09-30,46332.830384956476
2012-10-31,46718.54301035308
2012-11-30,47113.23699919667
2012-12-31,47963.00332847551
2013-01-31,46945.29972787372
2013-02-28,48483.08835126192
2013-03-31,47420.30883914067
2013-04-30,45655.556766880225
2013-05-31,45000.28979667945
2013-06-30,46058.49230199094
2013-07-31,46174.387687713766
2013-08-31,46393.42527777044
2013-09-30,46198.95960530316
2013-10-31,46481.41160948345
2013-11-30,46928.04079444795
2013-12-31,47896.510682101056
